GEOSTAT_gr;GRD_ID;kolej;10km;15km;20km
460;1kmN3068E4928;1;;0;
213;1kmN3069E4928;1;;0;
26;1kmN3072E4928;;;;
108;1kmN3073E4928;;;;
2;1kmN3074E4928;;;;0
49;1kmN3076E4928;;;;
4;1kmN3077E4928;;;;
231;1kmN3078E4928;;;;
19;1kmN3079E4928;;;;
37;1kmN3081E4928;;;;
85;1kmN3083E4928;;;;
1121;1kmN3031E4929;;;;
4529;1kmN3032E4929;;;;
9175;1kmN3033E4929;;;;
7488;1kmN3034E4929;;;;
1278;1kmN3035E4929;;;;
2181;1kmN3036E4929;;;;
1181;1kmN3037E4929;;;;0
350;1kmN3038E4929;;;;
106;1kmN3039E4929;;;;
102;1kmN3040E4929;;;;
1079;1kmN3041E4929;;;;
70;1kmN3042E4929;;;0;
80;1kmN3046E4929;;;;
329;1kmN3047E4929;;;;
333;1kmN3048E4929;;0;;
45;1kmN3049E4929;;0;;
28;1kmN3050E4929;;;;
507;1kmN3051E4929;;;;
43;1kmN3052E4929;;;;
83;1kmN3053E4929;;;;
376;1kmN3056E4929;;;5;
421;1kmN3057E4929;;;5;
85;1kmN3058E4929;;;5;
558;1kmN3059E4929;;;5;
33;1kmN3060E4929;;;5;
17;1kmN3062E4929;1;;5;
138;1kmN3064E4929;;0;;
39;1kmN3065E4929;;;;
79;1kmN3068E4929;1;;;
288;1kmN3069E4929;;;0;
7;1kmN3071E4929;;;;5
11;1kmN3072E4929;;;;5
23;1kmN3073E4929;;;;
18;1kmN3074E4929;;;;
42;1kmN3075E4929;;;;0
49;1kmN3076E4929;;;;
58;1kmN3078E4929;;;;
259;1kmN3079E4929;;;;
16;1kmN3080E4929;;;;
32;1kmN3081E4929;;;;
57;1kmN3082E4929;;;;
104;1kmN3083E4929;;;;
561;1kmN3031E4930;;;;
1136;1kmN3032E4930;;;;
5526;1kmN3033E4930;;;;
2310;1kmN3034E4930;;;;
892;1kmN3035E4930;;;;
652;1kmN3036E4930;;;;
372;1kmN3037E4930;;;;0
550;1kmN3038E4930;;;;
958;1kmN3039E4930;;;;
42;1kmN3040E4930;;;;
581;1kmN3041E4930;;;;
35;1kmN3042E4930;;;0;
15;1kmN3045E4930;;;;
441;1kmN3046E4930;;;;
894;1kmN3047E4930;;;;
150;1kmN3048E4930;;0;;
4;1kmN3049E4930;;;;
46;1kmN3050E4930;;;;
851;1kmN3051E4930;;;5;
1026;1kmN3052E4930;;;5;
210;1kmN3053E4930;;;5;
47;1kmN3054E4930;;;5;
14;1kmN3055E4930;;;;
132;1kmN3056E4930;;;;
117;1kmN3058E4930;;;;
914;1kmN3059E4930;;;;
159;1kmN3060E4930;;;;
245;1kmN3061E4930;;;;
47;1kmN3064E4930;;0;5;
168;1kmN3065E4930;;;5;
24;1kmN3066E4930;;;;
38;1kmN3067E4930;1;;;
55;1kmN3068E4930;1;;;
315;1kmN3070E4930;;;0;
175;1kmN3071E4930;;;;
7;1kmN3072E4930;;;;5
198;1kmN3073E4930;;;;5
112;1kmN3075E4930;;;;0
216;1kmN3076E4930;;;;
10;1kmN3078E4930;;;;
680;1kmN3079E4930;;;;
475;1kmN3080E4930;;;;
30;1kmN3081E4930;;;;
8;1kmN3082E4930;;;;
27;1kmN3083E4930;;;;
2206;1kmN3031E4931;;;;
2003;1kmN3032E4931;;;;
3501;1kmN3033E4931;;;;
5479;1kmN3034E4931;;;;
272;1kmN3035E4931;;;;
546;1kmN3036E4931;;;;0
343;1kmN3037E4931;;;;0
159;1kmN3038E4931;;;;
424;1kmN3039E4931;;;;
156;1kmN3044E4931;;;;
393;1kmN3045E4931;;;;
208;1kmN3046E4931;;;;
309;1kmN3047E4931;;0;;
11;1kmN3048E4931;;0;;
43;1kmN3050E4931;;;5;
32;1kmN3051E4931;;;5;
12;1kmN3052E4931;;;;
1187;1kmN3054E4931;;;;
99;1kmN3055E4931;;;;
405;1kmN3058E4931;;;;
92;1kmN3059E4931;;;;
47;1kmN3064E4931;;0;;
30;1kmN3065E4931;;0;5;
154;1kmN3066E4931;1;;5;
179;1kmN3067E4931;1;;5;
61;1kmN3068E4931;;;;
11;1kmN3069E4931;;;;
40;1kmN3070E4931;;;0;
7;1kmN3072E4931;;;;
19;1kmN3073E4931;;;;5
37;1kmN3074E4931;;;;5
32;1kmN3075E4931;;;;0
36;1kmN3079E4931;;;;
230;1kmN3080E4931;;;;
9;1kmN3081E4931;;;;
17;1kmN3082E4931;;;;
11;1kmN3083E4931;;;;
22;1kmN3084E4931;;;;
9;1kmN3085E4931;;;;
256;1kmN3031E4932;;;;
84;1kmN3032E4932;;;;
458;1kmN3033E4932;;;;
1628;1kmN3034E4932;;;;
156;1kmN3035E4932;;;;
26;1kmN3037E4932;;;;
28;1kmN3042E4932;;;0;5
550;1kmN3044E4932;;;;
225;1kmN3045E4932;;;;
85;1kmN3046E4932;;;;
182;1kmN3047E4932;;0;;
2;1kmN3048E4932;;;5;
44;1kmN3049E4932;;;5;
26;1kmN3050E4932;;;5;
559;1kmN3054E4932;;;;
653;1kmN3055E4932;;;;
150;1kmN3057E4932;;;;
761;1kmN3058E4932;;;;
15;1kmN3059E4932;;;;
459;1kmN3060E4932;;;;
1046;1kmN3061E4932;1;;;
1222;1kmN3062E4932;1;;;
12;1kmN3063E4932;1;;;
9;1kmN3065E4932;1;0;;
1933;1kmN3066E4932;1;;;
2503;1kmN3067E4932;;;5;
8100;1kmN3068E4932;;;5;
92;1kmN3070E4932;;;0;
11;1kmN3073E4932;;;;
27;1kmN3074E4932;;;;5
12;1kmN3076E4932;;;;0
44;1kmN3077E4932;;;;
77;1kmN3078E4932;;;;
5;1kmN3079E4932;;;;
1;1kmN3080E4932;;;;
62;1kmN3081E4932;;;;
114;1kmN3082E4932;;;;
43;1kmN3083E4932;;;;
180;1kmN3031E4933;;;;
348;1kmN3032E4933;;;;
1805;1kmN3033E4933;;;;
2496;1kmN3034E4933;;;;
176;1kmN3035E4933;;;;
303;1kmN3037E4933;;;;
520;1kmN3038E4933;;;;
176;1kmN3039E4933;;;;
674;1kmN3040E4933;;;;
391;1kmN3041E4933;;;0;5
6;1kmN3042E4933;;;;5
625;1kmN3044E4933;;;;
49;1kmN3046E4933;;0;;
72;1kmN3047E4933;;0;5;
189;1kmN3048E4933;;;5;
603;1kmN3049E4933;;;;
930;1kmN3050E4933;;;;
596;1kmN3051E4933;;;;
346;1kmN3052E4933;;;;
62;1kmN3054E4933;;;;
803;1kmN3055E4933;;;;
4;1kmN3056E4933;;;;
1247;1kmN3057E4933;;;;
3936;1kmN3058E4933;;;;
59;1kmN3059E4933;;;;
166;1kmN3060E4933;1;;;
3844;1kmN3061E4933;1;;;
1258;1kmN3062E4933;1;;;
39;1kmN3063E4933;1;;;
298;1kmN3064E4933;1;;;
11;1kmN3065E4933;1;0;;
813;1kmN3066E4933;;0;;
625;1kmN3067E4933;;;;
3689;1kmN3068E4933;;;5;
2;1kmN3069E4933;;;5;
62;1kmN3070E4933;;;;
95;1kmN3073E4933;;;;
443;1kmN3074E4933;;;;
8;1kmN3075E4933;;;;5
5;1kmN3076E4933;;;;0
219;1kmN3077E4933;;;;
170;1kmN3078E4933;;;;
4;1kmN3079E4933;;;;
294;1kmN3081E4933;;;;
602;1kmN3031E4934;;;;
671;1kmN3032E4934;;;;
1118;1kmN3033E4934;;;;
22;1kmN3034E4934;;;;
707;1kmN3038E4934;;;;
1024;1kmN3039E4934;;;;
658;1kmN3040E4934;;;;5
508;1kmN3041E4934;;;0;5
37;1kmN3042E4934;;;;
30;1kmN3043E4934;;;;
247;1kmN3044E4934;;;;
95;1kmN3045E4934;;;;
67;1kmN3046E4934;;0;5;
221;1kmN3047E4934;;;5;
149;1kmN3048E4934;;;;
103;1kmN3049E4934;;;;
423;1kmN3050E4934;;;;
193;1kmN3051E4934;;;;
4;1kmN3054E4934;;;;
720;1kmN3055E4934;;5;;
135;1kmN3056E4934;;5;;
2051;1kmN3057E4934;;5;;
33;1kmN3058E4934;;5;;
25;1kmN3059E4934;1;5;;
1697;1kmN3060E4934;1;5;;1
6108;1kmN3061E4934;;5;;1
6;1kmN3063E4934;;;;1
290;1kmN3064E4934;;;;1
168;1kmN3067E4934;;;;1
16;1kmN3069E4934;;;5;1
15;1kmN3070E4934;;;5;
155;1kmN3071E4934;;;0;
