30,"LINESTRING (19.0200189288 50.2598252057, 18.8786770128 50.3932418363)",0,71
1,"LINESTRING (19.0200189288 50.2598252057, 17.0379891776 51.0981342897)",0,186
11,"LINESTRING (19.0200189288 50.2598252057, 18.8823899859 50.1084672676)",0,233
0,"LINESTRING (19.0200189288 50.2598252057, 19.2486732105 50.3160035789)",0,375
13,"LINESTRING (18.6745315965 50.293869534, 18.8786770128 50.3932418363)",1,71
0,"LINESTRING (18.6745315965 50.293869534, 17.0379891776 51.0981342897)",1,186
2,"LINESTRING (18.6745315965 50.293869534, 18.8823899859 50.1084672676)",1,233
0,"LINESTRING (18.6745315965 50.293869534, 19.2486732105 50.3160035789)",1,375
10,"LINESTRING (19.0376086941 50.2553380466, 18.8786770128 50.3932418363)",2,71
0,"LINESTRING (19.0376086941 50.2553380466, 17.0379891776 51.0981342897)",2,186
1,"LINESTRING (19.0376086941 50.2553380466, 18.8823899859 50.1084672676)",2,233
0,"LINESTRING (19.0376086941 50.2553380466, 19.2486732105 50.3160035789)",2,375
15,"LINESTRING (19.0112392748 50.2672724624, 18.8786770128 50.3932418363)",3,71
0,"LINESTRING (19.0112392748 50.2672724624, 17.0379891776 51.0981342897)",3,186
0,"LINESTRING (19.0112392748 50.2672724624, 18.8823899859 50.1084672676)",3,233
0,"LINESTRING (19.0112392748 50.2672724624, 19.2486732105 50.3160035789)",3,375
0,"LINESTRING (19.0734867436 50.4704093806, 18.8786770128 50.3932418363)",4,71
7,"LINESTRING (19.0734867436 50.4704093806, 17.0379891776 51.0981342897)",4,186
0,"LINESTRING (19.0734867436 50.4704093806, 18.8823899859 50.1084672676)",4,233
2,"LINESTRING (19.0734867436 50.4704093806, 19.2486732105 50.3160035789)",4,375
0,"LINESTRING (19.12856881 50.2834464791, 18.8786770128 50.3932418363)",5,71
2,"LINESTRING (19.12856881 50.2834464791, 17.0379891776 51.0981342897)",5,186
0,"LINESTRING (19.12856881 50.2834464791, 18.8823899859 50.1084672676)",5,233
0,"LINESTRING (19.12856881 50.2834464791, 19.2486732105 50.3160035789)",5,375
14,"LINESTRING (19.046735797 50.2590717442, 18.8786770128 50.3932418363)",6,71
0,"LINESTRING (19.046735797 50.2590717442, 17.0379891776 51.0981342897)",6,186
20,"LINESTRING (19.046735797 50.2590717442, 18.8823899859 50.1084672676)",6,233
0,"LINESTRING (19.046735797 50.2590717442, 19.2486732105 50.3160035789)",6,375
3,"LINESTRING (18.9165249116 50.347218922, 18.8786770128 50.3932418363)",7,71
3,"LINESTRING (18.9165249116 50.347218922, 17.0379891776 51.0981342897)",7,186
0,"LINESTRING (18.9165249116 50.347218922, 18.8823899859 50.1084672676)",7,233
2,"LINESTRING (18.9165249116 50.347218922, 19.2486732105 50.3160035789)",7,375
4,"LINESTRING (18.7830747564 50.3015485788, 18.8786770128 50.3932418363)",8,71
0,"LINESTRING (18.7830747564 50.3015485788, 17.0379891776 51.0981342897)",8,186
0,"LINESTRING (18.7830747564 50.3015485788, 18.8823899859 50.1084672676)",8,233
0,"LINESTRING (18.7830747564 50.3015485788, 19.2486732105 50.3160035789)",8,375
1,"LINESTRING (19.1328045835 50.293476274, 18.8786770128 50.3932418363)",9,71
0,"LINESTRING (19.1328045835 50.293476274, 17.0379891776 51.0981342897)",9,186
0,"LINESTRING (19.1328045835 50.293476274, 18.8823899859 50.1084672676)",9,233
1,"LINESTRING (19.1328045835 50.293476274, 19.2486732105 50.3160035789)",9,375
6,"LINESTRING (18.9596299792 50.2216540089, 18.8786770128 50.3932418363)",10,71
6,"LINESTRING (18.9596299792 50.2216540089, 17.0379891776 51.0981342897)",10,186
0,"LINESTRING (18.9596299792 50.2216540089, 18.8823899859 50.1084672676)",10,233
0,"LINESTRING (18.9596299792 50.2216540089, 19.2486732105 50.3160035789)",10,375
5,"LINESTRING (19.0176665149 50.2779091036, 18.8786770128 50.3932418363)",11,71
0,"LINESTRING (19.0176665149 50.2779091036, 17.0379891776 51.0981342897)",11,186
0,"LINESTRING (19.0176665149 50.2779091036, 18.8823899859 50.1084672676)",11,233
0,"LINESTRING (19.0176665149 50.2779091036, 19.2486732105 50.3160035789)",11,375
2,"LINESTRING (18.9507834695 50.294790341, 18.8786770128 50.3932418363)",12,71
0,"LINESTRING (18.9507834695 50.294790341, 17.0379891776 51.0981342897)",12,186
0,"LINESTRING (18.9507834695 50.294790341, 18.8823899859 50.1084672676)",12,233
0,"LINESTRING (18.9507834695 50.294790341, 19.2486732105 50.3160035789)",12,375
1,"LINESTRING (18.9403618348 50.2944470813, 18.8786770128 50.3932418363)",13,71
0,"LINESTRING (18.9403618348 50.2944470813, 17.0379891776 51.0981342897)",13,186
3,"LINESTRING (18.9403618348 50.2944470813, 18.8823899859 50.1084672676)",13,233
0,"LINESTRING (18.9403618348 50.2944470813, 19.2486732105 50.3160035789)",13,375
3,"LINESTRING (19.0045139389 50.2504415411, 18.8786770128 50.3932418363)",14,71
1,"LINESTRING (19.0045139389 50.2504415411, 17.0379891776 51.0981342897)",14,186
1,"LINESTRING (19.0045139389 50.2504415411, 18.8823899859 50.1084672676)",14,233
0,"LINESTRING (19.0045139389 50.2504415411, 19.2486732105 50.3160035789)",14,375
16,"LINESTRING (18.9727722531 50.2172625913, 18.8786770128 50.3932418363)",15,71
0,"LINESTRING (18.9727722531 50.2172625913, 17.0379891776 51.0981342897)",15,186
2,"LINESTRING (18.9727722531 50.2172625913, 18.8823899859 50.1084672676)",15,233
0,"LINESTRING (18.9727722531 50.2172625913, 19.2486732105 50.3160035789)",15,375
