3431,"LINESTRING (19.12357092 50.32402545, 19.12761569 50.3252584)"
7,"LINESTRING (19.12357092 50.32402545, 19.1182065 50.32349802)"
6660,"LINESTRING (19.14088726 50.32508031, 19.15780663 50.32205268)"
8334,"LINESTRING (19.13808703 50.30788465, 19.13230419 50.31063911)"
34,"LINESTRING (19.12498713 50.31894265, 19.12498713 50.31894265)"
533,"LINESTRING (19.12498713 50.31894265, 19.12805557 50.32372406)"
387,"LINESTRING (19.12498713 50.31894265, 19.12761569 50.3252584)"
148,"LINESTRING (19.12498713 50.31894265, 19.13391352 50.32218968)"
42,"LINESTRING (19.12498713 50.31894265, 19.1180563 50.32056619)"
3967,"LINESTRING (19.12498713 50.31894265, 19.11624312 50.3157228)"
297,"LINESTRING (19.12498713 50.31894265, 19.13437486 50.2981194)"
470,"LINESTRING (19.14384842 50.30745982, 19.14539337 50.30241636)"
18,"LINESTRING (19.12829161 50.33043641, 19.12829161 50.33043641)"
145,"LINESTRING (19.12829161 50.33043641, 19.12761569 50.3252584)"
132,"LINESTRING (19.12829161 50.33043641, 19.13438559 50.3330526)"
340,"LINESTRING (19.12829161 50.33043641, 19.1182065 50.32349802)"
6601,"LINESTRING (19.12829161 50.33043641, 19.12367821 50.3330526)"
145,"LINESTRING (19.12805557 50.32372406, 19.12761569 50.3252584)"
6,"LINESTRING (19.12805557 50.32372406, 19.11438704 50.32962824)"
4,"LINESTRING (19.135952 50.31943588, 19.1368103 50.31622977)"
3,"LINESTRING (19.135952 50.31943588, 19.14880514 50.32088815)"
199,"LINESTRING (19.135952 50.31943588, 19.14243221 50.31995651)"
8,"LINESTRING (19.1368103 50.31622977, 19.1368103 50.31622977)"
306,"LINESTRING (19.12761569 50.3252584, 19.12761569 50.3252584)"
66,"LINESTRING (19.12761569 50.3252584, 19.1182065 50.32349802)"
5,"LINESTRING (19.12761569 50.3252584, 19.11438704 50.32962824)"
78,"LINESTRING (19.14895 50.33414, 19.14129496 50.33329914)"
78,"LINESTRING (19.14895 50.33414, 19.15474892 50.33206641)"
18,"LINESTRING (19.13438559 50.3330526, 19.13438559 50.3330526)"
258,"LINESTRING (19.13438559 50.3330526, 19.14129496 50.33329914)"
180,"LINESTRING (19.14129496 50.33329914, 19.15474892 50.33206641)"
126,"LINESTRING (19.11933303 50.31273569, 19.1158998 50.31420872)"
126,"LINESTRING (19.11933303 50.31273569, 19.1198802 50.31447591)"
126,"LINESTRING (19.1158998 50.31420872, 19.1198802 50.31447591)"
252,"LINESTRING (19.1158998 50.31420872, 19.11624312 50.3157228)"
250,"LINESTRING (19.06887531 50.35047192, 19.07490492 50.35345666)"
250,"LINESTRING (19.06887531 50.35047192, 19.06460524 50.34858239)"
5246,"LINESTRING (19.10908699 50.33959929, 19.11668301 50.33620279)"
5459,"LINESTRING (19.10908699 50.33959929, 19.10106182 50.34477574)"
213,"LINESTRING (19.10908699 50.33959929, 19.12118912 50.35523647)"
566,"LINESTRING (19.0643692 50.34658325, 19.06920791 50.33777781)"
566,"LINESTRING (19.0643692 50.34658325, 19.06376839 50.35627694)"
476,"LINESTRING (19.11668301 50.33620279, 19.11668301 50.33620279)"
5223,"LINESTRING (19.11668301 50.33620279, 19.12367821 50.3330526)"
23,"LINESTRING (19.11668301 50.33620279, 19.11543846 50.33255951)"
6,"LINESTRING (19.10106182 50.34477574, 19.10106182 50.34477574)"
213,"LINESTRING (19.10106182 50.34477574, 19.10119057 50.34622723)"
5246,"LINESTRING (19.10106182 50.34477574, 19.09432411 50.34800731)"
