GRD_ID,GEOSTAT_gr,GEOSTAT__1,GEOSTAT__2,GEOSTAT__3,GEOSTAT__4,GEOSTAT__5,prznagl,kolej,10km,15km,20km
1kmN3081E4925,31,PL,A,2011,PL,0,,,,,
1kmN3082E4925,9,PL,A,2011,PL,0,,,,,
1kmN3084E4925,67,PL,A,2011,PL,0,,,,,
1kmN3030E4926,764,PL,A,2011,PL,0,,,,,
1kmN3031E4926,259,PL,A,2011,PL,0,,,,,
1kmN3032E4926,52,PL,A,2011,PL,0,,,,,
1kmN3033E4926,715,PL,A,2011,PL,0,,,,,
1kmN3034E4926,1125,PL,A,2011,PL,0,,,,,
1kmN3035E4926,268,PL,A,2011,PL,0,,,,,
1kmN3036E4926,44,PL,A,2011,PL,0,,,,,
1kmN3037E4926,691,PL,A,2011,PL,0,,,,,
1kmN3039E4926,21,PL,A,2011,PL,0,,,,,0
1kmN3045E4926,211,PL,A,2011,PL,0,,,,0,
1kmN3046E4926,212,PL,A,2011,PL,0,,,,,
1kmN3048E4926,4,PL,A,2011,PL,0,,,,,5
1kmN3049E4926,28,PL,A,2011,PL,0,,,,,5
1kmN3050E4926,358,PL,A,2011,PL,0,,,,,5
1kmN3051E4926,244,PL,A,2011,PL,0,,,,,
1kmN3052E4926,146,PL,A,2011,PL,0,,,,,
1kmN3053E4926,9,PL,A,2011,PL,0,,,0,,
1kmN3060E4926,254,PL,A,2011,PL,0,,,,,
1kmN3061E4926,431,PL,A,2011,PL,0,,,,,
1kmN3063E4926,333,PL,A,2011,PL,0,,,,,
1kmN3064E4926,196,PL,A,2011,PL,0,,,,,
1kmN3065E4926,110,PL,A,2011,PL,0,,,,,
1kmN3066E4926,642,PL,A,2011,PL,0,,,,,5
1kmN3070E4926,21,PL,A,2011,PL,0,,1,,,
1kmN3071E4926,117,PL,A,2011,PL,0,,,,,
1kmN3072E4926,151,PL,A,2011,PL,0,,,,,
1kmN3074E4926,16,PL,A,2011,PL,0,,,,,0
1kmN3075E4926,235,PL,A,2011,PL,0,,,,,
1kmN3077E4926,138,PL,A,2011,PL,0,,,,,
1kmN3078E4926,10,PL,A,2011,PL,0,,,,,
1kmN3081E4926,34,PL,A,2011,PL,0,,,,,
1kmN3084E4926,11,PL,A,2011,PL,0,,,,,
1kmN3030E4927,1478,PL,A,2011,PL,0,,,,,
1kmN3031E4927,347,PL,A,2011,PL,0,,,,,
1kmN3032E4927,253,PL,A,2011,PL,0,,,,,
1kmN3033E4927,1199,PL,A,2011,PL,0,,,,,
1kmN3034E4927,821,PL,A,2011,PL,0,,,,,
1kmN3035E4927,207,PL,A,2011,PL,0,,,,,
1kmN3036E4927,84,PL,A,2011,PL,0,,,,,
1kmN3038E4927,25,PL,A,2011,PL,0,,,,,0
1kmN3040E4927,31,PL,A,2011,PL,0,,,,,
1kmN3044E4927,208,PL,A,2011,PL,0,,,,0,
1kmN3045E4927,615,PL,A,2011,PL,0,,,,,
1kmN3046E4927,81,PL,A,2011,PL,0,,,,,
1kmN3051E4927,18,PL,A,2011,PL,0,,,0,,
1kmN3052E4927,425,PL,A,2011,PL,0,,,0,,
1kmN3053E4927,821,PL,A,2011,PL,0,,,0,,
1kmN3054E4927,117,PL,A,2011,PL,0,,,,,
1kmN3060E4927,122,PL,A,2011,PL,0,,,0,,
1kmN3061E4927,42,PL,A,2011,PL,0,,,0,,
1kmN3065E4927,56,PL,A,2011,PL,0,,,,,
1kmN3066E4927,16,PL,A,2011,PL,0,,,,,
1kmN3067E4927,14,PL,A,2011,PL,0,,,,,
1kmN3068E4927,148,PL,A,2011,PL,0,,,,0,5
1kmN3069E4927,13,PL,A,2011,PL,0,,1,,,5
1kmN3073E4927,77,PL,A,2011,PL,0,,,,,
1kmN3074E4927,2,PL,A,2011,PL,0,,,,,0
1kmN3076E4927,38,PL,A,2011,PL,0,,,,,
1kmN3077E4927,132,PL,A,2011,PL,0,,,,,
1kmN3078E4927,42,PL,A,2011,PL,0,,,,,
1kmN3081E4927,338,PL,A,2011,PL,0,,,,,
1kmN3082E4927,7,PL,A,2011,PL,0,,,,,
1kmN3083E4927,20,PL,A,2011,PL,0,,,,,
1kmN3030E4928,1178,PL,A,2011,PL,0,,,,,
1kmN3031E4928,564,PL,A,2011,PL,0,,,,,
1kmN3032E4928,508,PL,A,2011,PL,0,,,,,
